Merchant Transaction Free Text (Input),Merchan name ,Address,Phone,Google Review,Website URL ,Direction URL 
HARVEY NICHOLS DUBAI DUBAI AE,Bottega Veneta Dubai Harvey Nichols,"Upmarket Italian brand specializing in leather handbags, plus ready-to-wear women's & men's fashion. Address: Harvey Nichols, Mall of the Emirates, First Floor, Al Barsha 1 - Dubai - United Arab Emirates Hours: Open ⋅ Closes 10PM  ",Phone:  +971 4 409 8888,4.2 5 Google reviews,https://www.bottegaveneta.com/experience/us/store/dubai-harvey-nichols,https://www.google.com/search?source=hp&ei=dSaSXIzCDcPdjwTpjLzoBg&q=HARVEY+NICHOLS+DUBAI+DUBAI+AE&oq=HARVEY+NICHOLS+DUBAI+DUBAI+AE&gs_l=psy-ab.3...1924.2396..2497...0.0..0.0.0.......0....1..gws-wiz.....0.#
CHOCOA LLC DUBAI AE,ChoCo'a,Address: Warehouse # 29 Street # 6A - Dubai - United Arab Emirates Hours: Open now · Add full hours  ,Phone:  +971 4 340 9013,,,https://www.google.com/search?source=hp&ei=giaSXP2PF8jMjwTWno-YDQ&q=CHOCOA+LLC+DUBAI+AE&oq=CHOCOA+LLC+DUBAI+AE&gs_l=psy-ab.3...1319.1585..1616...0.0..0.0.0.......0....1..gws-wiz.....0.#
CNC DUB CORP ACTION SUS AC,,,,,,
FONOGRAF CAFE RESTAU DUBAI AE,FONOGRAF Restaurant & Cafe,Address: Dubai Marina Walk Trident Bayside bld - Dubai - United Arab Emirates ,Phone:  +971 4 423 1023,4.1 89 Google reviews,,https://www.google.com/search?source=hp&ei=pyaSXPr9FOvbjwT-wZG4AQ&q=FONOGRAF+CAFE+RESTAU+DUBAI+AE&oq=FONOGRAF+CAFE+RESTAU+DUBAI+AE&gs_l=psy-ab.3...1218.1471..1510...0.0..0.0.0.......0....1..gws-wiz.....0.#
KISMAT ENERGY DMCC,,,,,,
ADNIC DISBURSEMENT ACCOUNT,,,,,,
APPAREL LLC DUBAI AE,Apparel LLC,Address: Dubai - United Arab Emirates Hours: Open now · Add full hours  ,Phone:  +971 4 340 2061,2.3 3 Google reviews,,https://www.google.com/search?source=hp&ei=yiaSXNP_JYKTjgSBh4_QBw&q=APPAREL+LLC+DUBAI+AE&oq=APPAREL+LLC+DUBAI+AE&gs_l=psy-ab.3...1601.1819..1843...0.0..0.0.0.......0....1..gws-wiz.....0.#
ADAC ABU DHABI AIRPORTS COMPANY,,,,,,
AMANA CONTRACTING,Amana Contracting and Steel Buildings,,,,,
FOOD MARK LLC DUBAI AE,FOOD MARK (L.L.C) - warehouse,Address: 25°06'42. 55°14'05. - 9 3 St - Dubai - United Arab Emirates ,Phone:  +971 4 389 5350,,,https://www.google.com/search?source=hp&ei=6yaSXPCZO-rTjwSP47rIAQ&q=FOOD+MARK+LLC+DUBAI+AE&oq=FOOD+MARK+LLC+DUBAI+AE&gs_l=psy-ab.3...1191.1421..1441...0.0..0.0.0.......0....1..gws-wiz.....0.#
OASIS AUTO PARTS LLC DUBAI AE,Oasis auto parts,Address: Dubai - United Arab Emirates Hours: Open now · Add full hours  ,Phone:  +971 4 284 4911,3.7 7 Google reviews,,https://www.google.com/search?source=hp&ei=-iaSXMjDDcqkjwTB5Yz4BA&q=OASIS+AUTO+PARTS+LLC+DUBAI+AE&oq=OASIS+AUTO+PARTS+LLC+DUBAI+AE&gs_l=psy-ab.3...1948.2549..2600...0.0..0.0.0.......0....1..gws-wiz.....0.#
TAQADO RESTAURANT DUBAI ARE,,,,,,
SHANGRILA DUBAI HOTEL DUBAI AE,Shangri-la Hotel Dubai,Address: Sheikh Zayed Rd Near Financial Metro Station - Dubai - United Arab Emirates ,Phone:  +971 4 343 8888,"4.5 3,339 Google reviews",http://www.shangri-la.com/dubai,https://www.google.com/search?source=hp&ei=JyeSXNulMKjajwSwtbzwDQ&q=SHANGRILA+DUBAI+HOTEL+DUBAI+AE&oq=SHANGRILA+DUBAI+HOTEL+DUBAI+AE&gs_l=psy-ab.3...1752.2204..2241...0.0..0.0.0.......0....1..gws-wiz.....0.#
JONES LANG LASALLE UAE LIMITED,,,,,,
MAN SE,,,,,,
TRANSGUARD GROU,Transguard Group,"Address: B Wing, 1st Floor,Dubai Airport Free Zone - Dubai - United Arab Emirates Hours: Open ⋅ Closes 5PM  ",Phone:  +971 4 703 0500,4.3 167 Google reviews,http://www.transguardgroup.com/,https://www.google.com/search?source=hp&ei=TyeSXLKAOYq2jwTi_YTwDA&q=TRANSGUARD+GROU&oq=TRANSGUARD+GROU&gs_l=psy-ab.3...1820.2041..2069...0.0..0.0.0.......0....1..gws-wiz.....0.#
MAMAESH PASTRY DUBAI AE,MAMA’ESH Business Bay,"Address: BAYSWATER TOWER, WATERFRONT, NEXT TO DUBAI ISLAMIC BANK - Marasi Dr - Dubai - United Arab Emirates Hours: Open ⋅ Closes 1AM  ",Phone:  +971 4 453 8166,4.6 562 Google reviews,http://www.mamaesh.com/,https://www.google.com/search?source=hp&ei=XSeSXPWPB6mCjwTN94GADQ&q=MAMAESH+PASTRY+DUBAI+AE&oq=MAMAESH+PASTRY+DUBAI+AE&gs_l=psy-ab.3...1981.2215..2237...0.0..0.0.0.......0....1..gws-wiz.....0.#
M UAE EX HANGE ENTRE LL,,,,,,
ARYA CLINIC DUBAI AE,Arya Clinic,Address: Al wasl Road Jumeira 1 Villa 264 - Dubai - United Arab Emirates Hours: Open ⋅ Closes 9PM  ,Phone:  +971 4 344 3600,3.6 27 Google reviews,,https://www.google.com/search?source=hp&ei=dyeSXOD9I4OXjwSsjbOoCA&q=ARYA+CLINIC+DUBAI+AE&oq=ARYA+CLINIC+DUBAI+AE&gs_l=psy-ab.3...1726.2023..2052...0.0..0.0.0.......0....1..gws-wiz.....0.#
MAX ELECTRONICS LLC DUBAI AE,Emax Oasis Center,Address: 62 10 B St - Dubai - United Arab Emirates Hours: Open ⋅ Closes 10PM  ,Phone:  +971 4 515 4459,3.4 108 Google reviews,http://www.emaxme.com/,https://www.google.com/search?source=hp&ei=kCeSXNnKCaSjjwSO5ZWYCQ&q=MAX+ELECTRONICS+LLC+DUBAI+AE&oq=MAX+ELECTRONICS+LLC+DUBAI+AE&gs_l=psy-ab.3...1581.1928..1953...0.0..0.0.0.......0....1..gws-wiz.....0.#
SHELL TREASURY CENTRE LIMITED,Shell Treasury Centre Limited,,,,,
ASSOCIATED FOREIGN EXCHANGE,"Associated Foreign Exchange, Inc.",,,,,
MADAREK LLC DUBAI AE,,,,,,
LUCKYS PIZZA DUBAI ARE,Lucky's Pizza & Restaurant,"Address: Shop No. 6, Lakeshore Tower, Cluster Y - Dubai - United Arab Emirates Hours: Open ⋅ Closes 12AM  ",Phone:  +971 800 113344,4.3 33 Google reviews,http://www.luckys.ae/,https://www.google.com/search?source=hp&ei=vyeSXLv8GorejwT_noO4BQ&q=LUCKYS+PIZZA+DUBAI+ARE&oq=LUCKYS+PIZZA+DUBAI+ARE&gs_l=psy-ab.3...1583.1805..1828...0.0..0.0.0.......0....1..gws-wiz.....0.#
LIFESTYLE BR DUBAI AE,,,,,,
ALTO MAR RESTAURANT LL DUBAI AE,Alto Mar Restaurant,"Address: Jumeirah 1, Fishing Harbour - Dubai - United Arab Emirates ",Phone:  +971 4 343 5225,4.5 102 Google reviews,http://alto-mar.com/,https://www.google.com/search?source=hp&ei=1yeSXL6eKurEjwTe4IXwDw&q=ALTO+MAR+RESTAURANT+LL+DUBAI+AE&oq=ALTO+MAR+RESTAURANT+LL+DUBAI+AE&gs_l=psy-ab.3...1470.1834..1896...0.0..0.0.0.......0....1..gws-wiz.....0.#
DAISO JAPAN VALUE STOR DUBAI AE,,,,,,
LOUIS BERGER SAS,,,,,,
SEAN CONNOLLY AT DUBAI DUBAI AE,,,,,,
BOSPORUS GOURMET REST. DUBAI ARE,,,,,,
COMZEST TRADING FZC,,,,,,
MALABAR SUPERMARKET DUBAI AE,Malabar Supermarket.,Address: 45th St - Dubai - United Arab Emirates Hours: Open ⋅ Closes 2AM  ,Phone:  +971 4 273 0914,4.0 77 Google reviews,,https://www.google.com/search?source=hp&ei=MyiSXP72PIeQjgSL4b6ACA&q=MALABAR+SUPERMARKET+DUBAI+AE&oq=MALABAR+SUPERMARKET+DUBAI+AE&gs_l=psy-ab.3...1580.1917..1942...0.0..0.0.0.......0....1..gws-wiz.....0.#
SKI DUBAI DUBAI AE,,,,,,
MCDONALDSENOC 1092 DUBAI AE,,,,,,
TEPCO FUEL AND POWER INCORPORATE,,,,,,
FRENCH DEPARTMENT STOR DUBAI AE,,,,,,
DANUBE HOME LLC DUBAI AE,,,,,,
CHEZ CHARLES RESTAURAN DUBAI AE,Chez Charles,"Address: Dubai Design District, Building 11 - Dubai - United Arab Emirates Hours: Open ⋅ Closes 12AM  Reservations: chezcharlesrestaurant.ae ",Phone:  +971 4 512 2444,4.6 133 Google reviews,http://chezcharlesrestaurant.ae/,https://www.google.com/search?source=hp&ei=jSiSXL-fCJT7jwT22ZaYAQ&q=CHEZ+CHARLES+RESTAURAN+DUBAI+AE&oq=CHEZ+CHARLES+RESTAURAN+DUBAI+AE&gs_l=psy-ab.3...1537.2145..2180...0.0..0.0.0.......0....1..gws-wiz.....0.#
THE CHOCOLATE BOUTIQUE ABU DHABI AE,,,,,,
STARBUCKS CC 3869 DUBAI AE,,,,,,
HSBC,,,,,,
CIE STGOBAIN AVENUE DALSACE COURBEVOIE,Saint-Gobain,"Address: 18 Avenue d'Alsace, 92400 Courbevoie, France Hours: Open ⋅ Closes 6PM  ",Phone:  +33 1 47 62 30 00,4.3 33 Google reviews,http://www.saint-gobain.com/,https://www.google.com/search?source=hp&ei=oSaSXMKXB6vIjwTDppGgBQ&q=CIE+STGOBAIN+AVENUE+DALSACE+COURBEVOIE&oq=CIE+STGOBAIN+AVENUE+DALSACE+COURBEVOIE&gs_l=psy-ab.3...1206.2245..2278...0.0..0.0.0.......0....1..gws-wiz.....0.#
BLUE MANDARINE RESTAUR DUBAI AE,,,,,,
STEIGENBERGER HOTEL BU DUBAI AE,Steigenberger Hotel Business Bay Dubai,Address: Marasi Dr - Dubai - United Arab Emirates ,Phone:  +971 4 369 0000,"4.3 1,816 Google reviews",https://www.steigenberger.com/hotels/alle-hotels/dubai/dubai/steigenberger-hotel-business-bay,https://www.google.com/search?source=hp&ei=vCaSXNjQHMmpjwTu2IH4BA&q=STEIGENBERGER+HOTEL+BU+DUBAI+AE&oq=STEIGENBERGER+HOTEL+BU+DUBAI+AE&gs_l=psy-ab.3...2163.2532..2555...0.0..0.0.0.......0....1..gws-wiz.....0.#
LEO BURNETT FZ LLC,,,,,,
NORTHERN TRUSTTRUSTEE,,,,,,
BISSAN DENTAL CENTER L DUBAI AE,Bissan Dental Center,"Address: Office 1103, Tameem House, Tecom، POBOX 392488 - Dubai - United Arab Emirates Hours: Open ⋅ Closes 9PM  ",Phone:  +971 4 374 3388 Appointments: bissanmc.com,4.6 16 Google reviews,http://www.bissanmc.com/,https://www.google.com/search?source=hp&ei=4iaSXPjFAsjLjwSIgJbgBg&q=BISSAN+DENTAL+CENTER+L+DUBAI+AE&oq=BISSAN+DENTAL+CENTER+L+DUBAI+AE&gs_l=psy-ab.3...1466.1928..1970...0.0..0.0.0.......0....1..gws-wiz.....0.#
BB ALMARAI COMPANY,,,,,,
ETIHAD ETISALAT COMPANY MOBILY OLAYA STREET KINGDOM CENTER,,,,,,
MCDONALDS54002 DUBAI ARE,,,,,,
REGENT PALACE HOTEL DUBAI AE,Regent Palace Hotel,Address: 41 - 41 Sheikh Khalifah Bin Zayed Rd، Opp. Burjuman Shopping Centre - Dubai - United Arab Emirates ,Phone:  +971 4 396 3888,3.7 944 Google reviews,http://www.dubairegentpalacehotel.com/,https://www.google.com/search?source=hp&ei=JSeSXOGEEKzRjwT9rpL4Bw&q=REGENT+PALACE+HOTEL+DUBAI+AE&oq=REGENT+PALACE+HOTEL+DUBAI+AE&gs_l=psy-ab.3...1576.1990..2029...0.0..0.0.0.......0....1..gws-wiz.....0.#
MOSCOW HOTEL DUBAI AE,Moscow Hotel,Address: Al Maktoum Rd - Dubai - United Arab Emirates ,Phone:  +971 4 228 8222,"3.6 1,216 Google reviews",http://www.moscowhoteldubai.com/,https://www.google.com/search?source=hp&ei=MSeSXMf5DOfojgTpuKnYBA&q=MOSCOW+HOTEL+DUBAI+AE&oq=MOSCOW+HOTEL+DUBAI+AE&gs_l=psy-ab.3...1740.2043..2072...0.0..0.0.0.......0....1..gws-wiz.....0.#
VIDA DOWNTOWN DUBAI HO DUBAI AE,,,,,,
EPIC MIDDLE EAST FZ LLC,,,,,,
BURBERRY MIDDLE EAST LLC,,,,,,
EMARATAL AMEEN6635 DUBAI AE,,,,,,
FOUR POINTS BY SHERATO DUBAI AE,,,,,,
GRAND STORES SAMSONITE DUBAI AE,,,,,,
TREASURY HOLDING COMPANY,Treasury Holdings,,,,,
SNOOKER WORLD DUBAI AE,Snooker World,Address: Al Ittihad Rd - Dubai - United Arab Emirates ,Phone:  +971 4 268 5566,4.5 24 Google reviews,http://snookerworld.ae/,https://www.google.com/search?source=hp&ei=oCeSXMWsJ-zPjwSl0rSYDA&q=SNOOKER+WORLD+DUBAI+AE&oq=SNOOKER+WORLD+DUBAI+AE&gs_l=psy-ab.3...1877.2300..2343...0.0..0.0.0.......0....1..gws-wiz.....0.#
SAROJA RESTAURANT CA DUBAI AE,,,,,,
RICHEMONT DUBAI FZE,Richemont Dubai FZE,Address: 2 Sheikh Zayed Rd - Dubai - United Arab Emirates ,Phone:  +971 4 330 0333,3.7 7 Google reviews,,https://www.google.com/search?source=hp&ei=zyeSXNiCI8HUjwS5mpfADA&q=RICHEMONT+DUBAI+FZE&oq=RICHEMONT+DUBAI+FZE&gs_l=psy-ab.3...1429.1650..1671...0.0..0.0.0.......0....1..gws-wiz.....0.#
ALLIED ENTERPRISES LLC DUBAI AE,Allied Enterprises LLC,Address: Oud Metha Rd - Dubai - United Arab Emirates ,Phone:  +971 4 336 4500,3.0 2 Google reviews,,https://www.google.com/search?source=hp&ei=2yeSXIbZOozTjwS3_aa4Cg&q=ALLIED+ENTERPRISES+LLC+DUBAI+AE&oq=ALLIED+ENTERPRISES+LLC+DUBAI+AE&gs_l=psy-ab.3...1548.2112..2146...0.0..0.0.0.......0....1..gws-wiz.....0.#
ROSSOVIVO ARTISAN PIZZ DUBAI AE,Rossovivo Artisan Pizza,Address: Dubai Internet City - Dubai - United Arab Emirates Hours: Open ⋅ Closes 11PM  ,Phone:  +971 4 427 2477,4.2 75 Google reviews,http://www.rossovivo.ae/,https://www.google.com/search?source=hp&ei=6CeSXObgIcyYjwSvzrPgBA&q=ROSSOVIVO+ARTISAN+PIZZ+DUBAI+AE&oq=ROSSOVIVO+ARTISAN+PIZZ+DUBAI+AE&gs_l=psy-ab.3...2034.2350..2372...0.0..0.0.0.......0....1..gws-wiz.....0.#
ANGELINA RESTARANT LLC DUBAI AE,Angelina,"Located in: The Dubai Mall Address: Ground Floor,The Dubai Mall, Fashion Avenue - Dubai - United Arab Emirates Hours: Open ⋅ Closes 1AM  ",Phone:  +971 4 442 9112,4.2 241 Google reviews,http://www.angelina-paris.fr/en/,https://www.google.com/search?source=hp&ei=8yeSXOLjJYzCjgTa3ZmYCA&q=ANGELINA+RESTARANT+LLC+DUBAI+AE&oq=ANGELINA+RESTARANT+LLC+DUBAI+AE&gs_l=psy-ab.3...1814.2410..2435...0.0..0.0.0.......0....1..gws-wiz.....0.#
CREATIVE MINDS GENERAL DUBAI AE,,,,,,
EVERSENDAI OFFSHORE RMC FZE,Eversendai Offshore RMC FZE,"Address: 45th Floor, Vision Tower, Business Bay - Dubai - United Arab Emirates Hours: Open ⋅ Closes 6PM  ",Phone:  +971 4 456 4815,3.6 14 Google reviews,http://www.eversendaioffshore.com/,https://www.google.com/search?source=hp&ei=DCiSXJPgKYvLjwTF_bDwAg&q=EVERSENDAI+OFFSHORE+RMC+FZE&oq=EVERSENDAI+OFFSHORE+RMC+FZE&gs_l=psy-ab.3...1967.2330..2359...0.0..0.0.0.......0....1..gws-wiz.....0.#
ONE SHARE PLC,,,,,,
TMF SERVICES,TMF Services India Pvt Ltd,"Address: Kodbisanhalli, Panathur, Bengaluru, Karnataka 560103 Hours: Open ⋅ Closes 6:30PM  ",Phone:  080673 47157,3.7 3 Google reviews,http://www.tmf-group.com/,https://www.google.com/search?source=hp&ei=MSiSXIunCeXUjwS3x4vwDA&q=TMF+SERVICES&oq=TMF+SERVICES&gs_l=psy-ab.3...1571.1745..1776...0.0..0.0.0.......0....1..gws-wiz.....0.#
GRANDEUR HOTEL DUBAI AE,Grandeur Hotel,Address: Al Barsha First (Behind the Mall of Emirates) - Dubai - United Arab Emirates ,Phone:  +971 4 371 6666,4.0 697 Google reviews,http://www.grandeurhotel.com/,https://www.google.com/search?source=hp&ei=PSiSXOG7I5ygjwSqtb2ABw&q=GRANDEUR+HOTEL+DUBAI+AE&oq=GRANDEUR+HOTEL+DUBAI+AE&gs_l=psy-ab.3...1546.1887..1923...0.0..0.0.0.......0....1..gws-wiz.....0.#
SUDANESE MOBILE TELEPHONE COMPANY LIMITED,Zain Sudan,,,,,
WATER GRILL FACILITIES DUBAI ARE,The Maine,"Located in: DoubleTree by Hilton Hotel Dubai - Jumeirah Beach Address: Ground Floor, The DoubleTree by Hilton - Dubai - United Arab Emirates Hours: Open ⋅ Closes 12AM  ",Phone:  +971 4 457 6719,4.5 536 Google reviews,http://www.themaine.ae/,https://www.google.com/search?source=hp&ei=WiiSXPvtNKecjwTqqq74CQ&q=WATER+GRILL+FACILITIES+DUBAI+ARE&oq=WATER+GRILL+FACILITIES+DUBAI+ARE&gs_l=psy-ab.3...1217.1584..1614...0.0..0.0.0.......0....1..gws-wiz.....0.#
F.G.E THE WAREHOUSE DUBAI AE,,,,,,
SPINNEYS DUBAI LLC DUBAI AE,,,,,,
FOUR POINTS BY SHERATO DUBAI AE,,,,,,
FRESH WELL SUPERMARKET DUBAI ARE,Freshwell Supermarket,"Address: Ground Floor, Marina View Towers, Behind Radisson Blu Hotel - Al Marsa St - Dubai - United Arab Emirates Hours: Open 24 hours  ",Phone:  +971 4 421 0666,3.3 19 Google reviews,http://freshwell-supermarket.business.site/,https://www.google.com/search?source=hp&ei=iyiSXO65EurbjwS986zoDw&q=FRESH+WELL+SUPERMARKET+DUBAI+ARE&oq=FRESH+WELL+SUPERMARKET+DUBAI+ARE&gs_l=psy-ab.3...1523.2155..2193...0.0..0.0.0.......0....1..gws-wiz.....0.#
E I T TELECOM DU DUBAI AE,,,,,,
GULF COAL TRADING LLC,Gulf Coal Trading L.L.C,Address: 148 Salah Al Din St - Dubai - United Arab Emirates Hours: Open ⋅ Closes 6PM  ,Phone:  +971 4 269 1384,,http://www.gulf-coal.com/,https://www.google.com/search?source=hp&ei=sCiSXKelMcTdjwSNtpmgAg&q=GULF+COAL+TRADING+LLC&oq=GULF+COAL+TRADING+LLC&gs_l=psy-ab.3...1528.1720..1740...0.0..0.0.0.......0....1..gws-wiz.....0.#
NTDESMOKERS CENTER DUBAI AE,Smokers Centre,"Address: Souk Madinath Jumeirah,Al Safouh Road,Al Safouh - Dubai - United Arab Emirates Hours: Open ⋅ Closes 11PM  ",Phone:  +971 4 448 9156,4.3 3 Google reviews,http://www.ntde.com/en/retail-brand/smokers-centre,
PICCOLO MONDO BAY REST DUBAI AE,,,,,,
TARGET ENGINEERING CONSTRUCTION RU COMPANY LLC,,,,,,
BEIN SPORTS,,,,,,
TOKO RESTAURANT LLC DUBAI AE,Downtown Toko,"Boutique hotel setting for modern ‘izakaya’-style dining, with a garden terrace and lounge booths. Address: Vida Downtown, Mohammed Bin Rashid Boulevard, Near Burj Khalifa - Dubai - United Arab Emirates Hours: Open ⋅ Closes 5PM ⋅ Reopens 6PM  ",Phone:  +971 4 442 8383,4.3 310 Google reviews,http://downtowntoko.com/,https://www.google.com/search?source=hp&ei=6SiSXJPkLoufjgSx1LWwCg&q=TOKO+RESTAURANT+LLC+DUBAI+AE&oq=TOKO+RESTAURANT+LLC+DUBAI+AE&gs_l=psy-ab.3...1520.1771..1791...0.0..0.0.0.......0....1..gws-wiz.....0.#
CANADIAN UNIVERSITY OF DUBAI AE,,,,,,
MANCHESTER TYRE TRDG L DUBAI AE,Manchester Tyre,Address: First Al Khail Street - 8th Street - Dubai - United Arab Emirates Hours: Open ⋅ Closes 8PM  ,Phone:  +971 4 347 5303,4.0 259 Google reviews,https://www.instagram.com/manchestertyre/,https://www.google.com/search?source=hp&ei=DimSXPTtIorLjwSw9J7YAg&q=MANCHESTER+TYRE+TRDG+L+DUBAI+AE&oq=MANCHESTER+TYRE+TRDG+L+DUBAI+AE&gs_l=psy-ab.3...1394.1679..1703...0.0..0.0.0.......0....1..gws-wiz.....0.#
SPEED WAY AUTO SPARE P DUBAI AE,Speed Way Auto Spare Parts Trading LLC,"Address: 21 C St, Baniyas Sqaure, Deira Old Al Maktoum Hospital Rd, Behind Emirates NBD Building Next to Khansab Parking Building - Dubai - United Arab Emirates Hours: Opens soon ⋅ 4PM  ",Phone:  +971 4 221 3732,5.0 6 Google reviews,http://www.speedwayautospareparts.com/,https://www.google.com/search?source=hp&ei=GimSXPtkwuiPBIr1lYgE&q=SPEED+WAY+AUTO+SPARE+P+DUBAI+AE&oq=SPEED+WAY+AUTO+SPARE+P+DUBAI+AE&gs_l=psy-ab.3...1438.1744..1767...0.0..0.0.0.......0....1..gws-wiz.....0.#
GOVINDAS RESTAURANT DUBAI AE,My Govinda’s Restaurant,"Address: Ground Floor ,City Tower - Dubai - United Arab Emirates Hours: Closed ⋅ Opens 7PM  Reservations: mygovindas.com Order: mygovindas.com ",Phone:  +971 4 396 0088,4.2 588 Google reviews,http://www.mygovindas.com/,https://www.google.com/search?source=hp&ei=JSmSXKbiMcqsjwTapo6wDw&q=GOVINDAS+RESTAURANT+DUBAI+AE&oq=GOVINDAS+RESTAURANT+DUBAI+AE&gs_l=psy-ab.3...1734.1987..2008...0.0..0.0.0.......0....1..gws-wiz.....0.#
ETISALATDXBAL WASL 1 DUBAI ARE,,,,,,
GRAND AL KAUSAR PHARMA DUBAI AE,Grand Al Kausar Pharmacy,Address: Dubai - United Arab Emirates Hours: Open now · Add full hours  ,Phone:  +971 4 351 1406,3.7 3 Google reviews,,https://www.google.com/search?source=hp&ei=RimSXKvADYmJjwS1v67gAg&q=GRAND+AL+KAUSAR+PHARMA+DUBAI+AE&oq=GRAND+AL+KAUSAR+PHARMA+DUBAI+AE&gs_l=psy-ab.3...1422.1725..1749...0.0..0.0.0.......0....1..gws-wiz.....0.#
BAY SQUARE HOTEL LLC DUBAI AE,DoubleTree by Hilton Dubai - Business Bay,Address: Dubai - United Arab Emirates ,Phone:  +971 4 551 1544,"4.5 1,066 Google reviews",http://doubletree3.hilton.com/en/hotels/uae/doubletree-by-hilton-dubai-business-bay-DXBBBDI/index.html?WT.mc_id=zDA0AE1DT2DMH3LocalSearch4DGGeneric_Apr56DXBBBDI7EN8i1,https://www.google.com/search?source=hp&ei=USmSXOLPPOuijwSFvbKAAg&q=BAY+SQUARE+HOTEL+LLC+DUBAI+AE&oq=BAY+SQUARE+HOTEL+LLC+DUBAI+AE&gs_l=psy-ab.3...1353.1634..1655...0.0..0.0.0.......0....1..gws-wiz.....0.#
IBIS DEIRA CITY CENTRE DUBAI AE,Hotel ibis Deira City Centre,"Address: 8th Street, Opp. Deira City Centre Port Saeed District - Dubai - United Arab Emirates ",Phone:  +971 4 292 5000,"4.2 1,882 Google reviews",http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6481&merchantid=seo-maps-AE-6481&sourceid=aw-cen,https://www.google.com/search?source=hp&ei=XymSXKOBDKyYjwSG34CgDw&q=IBIS+DEIRA+CITY+CENTRE+DUBAI+AE&oq=IBIS+DEIRA+CITY+CENTRE+DUBAI+AE&gs_l=psy-ab.3...1697.1979..2000...0.0..0.0.0.......0....1..gws-wiz.....0.#
UASC UNITED ARAB SHIPPING COMPANY SAG AIRPORT ROAD SAFAT KUWAIT,,,,,,
SUPREME CHI ENERGY SPA DUBAI AE,Supreme Energy Spa,Address: Sheikh Zayed Road - Dubai - United Arab Emirates ,Phone:  +971 4 360 8836,4.0 8 Google reviews,http://supremspajlt.com/,https://www.google.com/search?source=hp&ei=dymSXIWWA5HMjgSg8bHYCA&q=SUPREME+CHI+ENERGY+SPA+DUBAI+AE&oq=SUPREME+CHI+ENERGY+SPA+DUBAI+AE&gs_l=psy-ab.3...1467.1841..1869...0.0..0.0.0.......0....1..gws-wiz.....0.#
AL JAZEERA FURNIURE ABU DHABI AE,,,,,,
RITZ RENT A CAR LLC DUBAI AE,,,,,,
